preferred_fc,market_type,distance_bucket,demand_share,network
GA-303,Primary,<50,0.01896879471150814,1FC
GA-303,Primary,51-150,0.006184407448462962,1FC
GA-303,Primary,151-300,0.014390566678089245,1FC
GA-303,Primary,301-600,0.17836353013827005,1FC
GA-303,Primary,601-1000,0.2665784488556135,1FC
GA-303,Primary,1001-1400,0.05036749337376167,1FC
GA-303,Primary,1401-1800,0.04772189604299042,1FC
GA-303,Primary,>1800,0.12824036997976596,1FC
GA-303,Secondary,<50,0.0,1FC
GA-303,Secondary,51-150,0.011386484031492432,1FC
GA-303,Secondary,151-300,0.04566806023356107,1FC
GA-303,Secondary,301-600,0.08387995589824115,1FC
GA-303,Secondary,601-1000,0.07807999378847454,1FC
GA-303,Secondary,1001-1400,0.018464019266800975,1FC
GA-303,Secondary,1401-1800,0.008296260309005333,1FC
GA-303,Secondary,>1800,0.031099269398456343,1FC
GA-303,Tertiary,<50,0.0,1FC
GA-303,Tertiary,51-150,0.0,1FC
GA-303,Tertiary,151-300,0.0,1FC
GA-303,Tertiary,301-600,0.007283904417119792,1FC
GA-303,Tertiary,601-1000,0.0013687582058759795,1FC
GA-303,Tertiary,1001-1400,0.0022900920175710675,1FC
GA-303,Tertiary,1401-1800,0.001159412021441991,1FC
GA-303,Tertiary,>1800,0.00020828318349748467,1FC
