preferred_fc,market_type,demand_share
GA-303,AL,0.008742784702393324
GA-303,AR,0.006689094893092601
GA-303,AZ,0.031248513529940423
GA-303,CA,0.11836796528217743
GA-303,CO,0.048999634168677704
GA-303,CT,0.012398860923396475
GA-303,DC,0.0027948004622192074
GA-303,DE,0.004102578614371759
GA-303,FL,0.06868240050919486
GA-303,GA,0.0280351226989431
GA-303,IA,0.007998833046971915
GA-303,ID,0.006542897764292932
GA-303,IL,0.036005963721254045
GA-303,IN,0.01935632105291885
GA-303,KS,0.005944139236786668
GA-303,KY,0.012935627396287737
GA-303,LA,0.01100096069184637
GA-303,MA,0.02661018644357426
GA-303,MD,0.01896879471150814
GA-303,ME,0.0037751313258906983
GA-303,MI,0.03133761260843671
GA-303,MN,0.012279675818394398
GA-303,MO,0.019118994843834457
GA-303,MS,0.00428084077142072
GA-303,MT,0.0025873952794952413
GA-303,NC,0.02982055027190479
GA-303,ND,0.0027066583845660372
GA-303,NE,0.00395525348457832
GA-303,NH,0.005083912478926894
GA-303,NJ,0.03535107214429456
GA-303,NM,0.00692737910302099
GA-303,NV,0.014005045338444943
GA-303,NY,0.07459944372210993
GA-303,OH,0.03330128633843327
GA-303,OK,0.009988580799939686
GA-303,OR,0.011594766214989036
GA-303,PA,0.041570448623565244
GA-303,RI,0.004430023902851059
GA-303,SC,0.013111831551523598
GA-303,SD,0.002349172069620593
GA-303,TN,0.018790552554476803
GA-303,TX,0.06463981794767962
GA-303,UT,0.010941899639813584
GA-303,VA,0.02583813576339761
GA-303,VT,0.0017253035199924012
GA-303,WA,0.020842302362068382
GA-303,WI,0.013258968681151409
GA-303,WV,0.005351213714419283
GA-303,WY,0.001011250890912035
