Network,market_type,Total_Revenue,Total_Shipping_Cost,Total_COGS,Gross_Operating_Profit,Net_Revenue
1-FC,Primary,148546224.70060393,38623391.941212736,37136556.17515098,72786276.58424023,109922832.75939119
1-FC,Secondary,73290774.154864,16313040.214068783,18322693.538716,38655040.40207922,56977733.94079521
1-FC,Tertiary,3258674.5577042834,439551.3342418171,814668.6394260708,2004454.5840363954,2819123.223462466
15-FC,Primary,178255469.64072475,25642341.16966459,44563867.41018119,108049261.06087896,152613128.47106016
15-FC,Secondary,73290774.154864,9175610.77094735,18322693.538716,45792469.84520065,64115163.383916646
15-FC,Tertiary,3258674.5577042834,345088.74770865054,814668.6394260708,2098917.170569562,2913585.8099956326
4-FC,Primary,178255469.64072475,43002282.40058941,44563867.41018119,90689319.82995415,135253187.24013534
4-FC,Secondary,73290774.154864,11956826.637433743,18322693.538716,43011253.97871426,61333947.51743025
4-FC,Tertiary,3258674.5577042834,351042.8509101474,814668.6394260708,2092963.067368065,2907631.706794136
1-FC,Overall,225095673.41317222,55375983.48952334,56273918.353293054,113445771.57035585,169719689.92364886
15-FC,Overall,254804918.35329303,35163040.68832059,63701229.58832326,155940648.0766492,219641877.66497242
4-FC,Overall,254804918.35329303,55310151.88893329,63701229.58832326,135793536.87603647,199494766.46435973
