FC ID,FC Target Max,FC Target Mean
AZ-852,493.3934761745982,331.95495317607566
CA-900,1109.6350930547665,746.562091200365
CA-945,514.7811983515234,346.34460495832127
CO-802,681.7798021381848,458.7012054757833
FL-331,723.0947444731939,486.49788380769735
GA-303,1010.6871595666428,679.989957165305
IL-606,1395.433467773107,938.847134839354
MA-021,590.1195142038248,397.0321967461486
MI-481,1014.725879573296,682.7072065320666
NC-275,699.546960888808,470.65494348801406
NJ-070,2138.7818918278667,1438.9716869793315
TX-750,619.4742036168406,416.7820212171709
TX-770,560.0452713768882,376.79825699723943
UT-841,230.78584365280622,155.27263253954763
WA-980,401.75430319809794,270.30015058248887
